y,x,valor-matriz,plataforma
12,6,0.44541,2
13,6,0.55841,2
14,6,0.60522,2
15,6,0.66069,2
16,6,0.75507,2
17,6,0.89432,2
18,6,0.68594,2
19,6,0.70345,2
0,7,0.64356,2
1,7,0.64779,2
2,7,0.6162,2
3,7,0.62638,2
4,7,0.44888,2
5,7,0.40219,2
6,7,0.30669,2
7,7,0.04838,2
8,7,0.01155,2
9,7,0.08339,2
10,7,0.01713,2
11,7,0.34509,2
12,7,0.44257,2
13,7,0.43999,2
14,7,0.57842,2
15,7,0.70158,2
16,7,0.76441,2
17,7,0.70311,2
18,7,0.67396,2
19,7,0.66814,2
0,8,0.5924,2
1,8,0.57874,2
2,8,0.53572,2
3,8,0.54596,2
4,8,0.46688,2
5,8,0.38593,2
6,8,0.26549,2
7,8,0.07458,2
8,8,0.07215,2
9,8,0.02424,2
10,8,0.04063,2
11,8,0.2705,2
12,8,0.36339,2
13,8,0.40692,2
14,8,0.5266,2
15,8,0.60066,2
16,8,0.60098,2
17,8,0.59559,2
18,8,0.56486,2
19,8,0.63509,2
0,9,0.54264,2
1,9,0.51899,2
2,9,0.48367,2
3,9,0.43085,2
4,9,0.40849,2
5,9,0.28536,2
6,9,0.0345,2
7,9,0.05527,2
8,9,0.07484,2
9,9,0.09998,2
10,9,0.0594,2
11,9,0.08955,2
12,9,0.33664,2
13,9,0.38706,2
14,9,0.47004,2
15,9,0.45397,2
16,9,0.4988,2
17,9,0.52307,2
18,9,0.57582,2
19,9,0.4672,2
0,10,0.43533,2
1,10,0.42428,2
2,10,0.42011,2
3,10,0.39992,2
4,10,0.29009,2
5,10,0.09981,2
6,10,0.05913,2
7,10,0.08859,2
8,10,0.07277,2
9,10,0.0479,2
10,10,0.04153,2
11,10,0.0918,2
12,10,0.07455,2
13,10,0.31096,2
14,10,0.38779,2
15,10,0.38644,2
16,10,0.42499,2
17,10,0.45717,2
18,10,0.38853,2
19,10,0.43158,2
0,11,0.32277,2
1,11,0.336,2
2,11,0.35628,2
3,11,0.30304,2
4,11,0.06608,2
5,11,0.02941,2
6,11,0.00991,2
7,11,0.00857,2
8,11,0.01953,2
9,11,0.09862,2
10,11,0.0327,2
11,11,0.0071,2
12,11,0.07065,2
13,11,0.05785,2
14,11,0.3166,2
15,11,0.31992,2
16,11,0.33006,2
17,11,0.38174,2
18,11,0.33573,2
19,11,0.33271,2
0,12,0.23898,2
1,12,0.07951,2
2,12,0.01072,2
3,12,0.08455,2
4,12,0.04665,2
5,12,0.05303,2
6,12,0.09955,2
7,12,0.06074,2
8,12,0.0168,2
9,12,0.08504,2
10,12,0.06315,2
11,12,0.09521,2
12,12,0.09257,2
13,12,0.01002,2
14,12,0.02355,2
15,12,0.08158,2
16,12,0.09626,2
17,12,0.24553,2
18,12,0.05112,2
19,12,0.03018,2
0,13,0.09035,2
1,13,0.08899,2
2,13,0.03481,2
3,13,0.07827,2
4,13,0.04109,2
5,13,0.03332,2
6,13,0.04591,2
7,13,0.0324,2
8,13,0.08166,2
9,13,0.01034,2
10,13,0.04442,2
11,13,0.01697,2
12,13,0.03584,2
13,13,0.06916,2
14,13,0.01741,2
15,13,0.06135,2
16,13,0.06726,2
17,13,0.09213,2
18,13,0.09458,2
19,13,0.07404,2
0,14,0.06678,2
1,14,0.00368,2
2,14,0.09278,2
3,14,0.06065,2
4,14,0.07489,2
5,14,0.01461,2
6,14,0.03717,2
7,14,0.03109,2
8,14,0.01799,2
9,14,0.06634,2
10,14,0.02778,2
11,14,0.0709,2
12,14,0.09397,2
13,14,0.03632,2
14,14,0.01579,2
15,14,0.02966,2
16,14,0.0123,2
17,14,0.0479,2
18,14,0.02583,2
19,14,0.08028,2
0,15,0.00262,2
1,15,0.03476,2
2,15,0.0029,2
3,15,0.04519,2
4,15,0.08612,2
5,15,0.07653,2
6,15,0.0303,2
7,15,0.01784,2
8,15,0.08508,2
9,15,0.02359,2
10,15,0.02355,2
11,15,0.01741,2
12,15,0.03037,2
13,15,0.03378,2
14,15,0.04988,2
15,15,0.06537,2
16,15,0.00515,2
17,15,0.05285,2
18,15,0.07933,2
19,15,0.01913,2
0,16,0.09786,2
1,16,0.01275,2
2,16,0.04178,2
3,16,0.03317,2
4,16,0.01027,2
5,16,0.06817,2
6,16,0.09676,2
7,16,0.09358,2
8,16,0.08355,2
9,16,0.05486,2
10,16,0.05047,2
11,16,0.07427,2
12,16,0.01136,2
13,16,0.07019,2
14,16,0.02822,2
15,16,0.09137,2
16,16,0.05875,2
17,16,0.08774,2
18,16,0.06701,2
19,16,0.03093,2
0,17,0.0361,2
1,17,0.06861,2
2,17,0.00874,2
3,17,0.01584,2
4,17,0.07735,2
5,17,0.01143,2
6,17,0.0636,2
7,17,0.0251,2
8,17,0.04964,2
9,17,0.04725,2
10,17,0.08096,2
11,17,0.07464,2
12,17,0.03114,2
13,17,0.02791,2
14,17,0.08459,2
15,17,0.04046,2
16,17,0.03363,2
17,17,0.004,2
18,17,0.01039,2
19,17,0.04022,2
0,18,0.05742,2
1,18,0.07435,2
2,18,0.07576,2
3,18,0.03559,2
4,18,0.09617,2
5,18,0.03588,2
6,18,0.09407,2
7,18,0.02625,2
8,18,0.02641,2
9,18,0.08591,2
10,18,0.07504,2
11,18,0.01603,2
12,18,0.06448,2
13,18,0.09824,2
14,18,0.07586,2
15,18,0.02347,2
16,18,0.01426,2
17,18,0.05428,2
18,18,0.08268,2
19,18,0.02428,2
0,19,0.03969,2
1,19,0.01797,2
2,19,1.3E-4,2
3,19,0.08014,2
4,19,0.04688,2
5,19,0.09081,2
6,19,0.02055,2
7,19,0.09549,2
8,19,0.04325,2
9,19,0.02969,2
10,19,0.09446,2
11,19,0.06078,2
12,19,0.05665,2
13,19,0.0689,2
14,19,0.00346,2
15,19,0.07731,2
16,19,0.02154,2
17,19,0.0889,2
18,19,0.08638,2
19,19,0.09204,2
0,20,0.03273,2
1,20,0.01727,2
2,20,0.08376,2
3,20,0.07777,2
4,20,0.04102,2
5,20,0.03531,2
6,20,0.00542,2
7,20,0.01642,2
8,20,0.05742,2
9,20,0.00453,2
10,20,0.03354,2
11,20,0.07776,2
12,20,0.02235,2
13,20,0.03923,2
14,20,0.09138,2
15,20,0.04508,2
16,20,0.05151,2
17,20,0.06285,2
18,20,0.05463,2
19,20,0.08692,2
0,21,0.07461,2
1,21,0.00366,2
2,21,0.04431,2
3,21,0.01496,2
4,21,0.06864,2
5,21,0.08849,2
6,21,0.04439,2
7,21,0.00888,2
8,21,0.04641,2
9,21,0.05919,2
10,21,0.03488,2
11,21,0.02713,2
12,21,0.01161,2
13,21,0.02573,2
14,21,0.09315,2
15,21,0.043,2
16,21,0.03598,2
17,21,0.09631,2
18,21,0.02606,2
19,21,0.03189,2
0,22,0.06171,2
1,22,0.04433,2
2,22,0.06045,2
3,22,0.04951,2
4,22,0.02821,2
5,22,0.04596,2
6,22,0.08863,2
7,22,0.07988,2
8,22,0.001,2
9,22,0.0659,2
10,22,0.06083,2
11,22,0.06728,2
12,22,0.03778,2
13,22,0.00553,2
14,22,0.01626,2
15,22,0.02793,2
16,22,0.08004,2
17,22,0.02632,2
18,22,0.01465,2
19,22,0.07123,2
0,23,0.01827,2
1,23,0.06401,2
2,23,0.03712,2
3,23,0.05144,2
4,23,0.00861,2
5,23,0.01646,2
6,23,0.05562,2
7,23,0.04901,2
8,23,0.05649,2
9,23,0.04214,2
10,23,0.09266,2
11,23,0.08827,2
12,23,0.08864,2
13,23,0.07141,2
14,23,0.05415,2
15,23,0.04433,2
16,23,0.00211,2
17,23,0.00846,2
18,23,0.05835,2
19,23,0.04551,2
0,24,0.08531,2
1,24,0.06791,2
2,24,0.04463,2
3,24,0.06323,2
4,24,0.00952,2
5,24,0.01982,2
6,24,0.01038,2
7,24,0.098,2
8,24,0.01345,2
9,24,0.00493,2
10,24,0.03487,2
11,24,0.06117,2
12,24,0.03042,2
13,24,0.02539,2
14,24,0.09676,2
15,24,0.04819,2
16,24,0.00537,2
17,24,0.08078,2
18,24,0.07407,2
19,24,0.04545,2
0,25,0.0575,2
1,25,0.00295,2
2,25,0.05719,2
3,25,0.06808,2
4,25,0.05667,2
5,25,0.01697,2
6,25,0.07723,2
7,25,0.06654,2
8,25,0.04957,2
9,25,0.06001,2
10,25,0.07266,2
11,25,0.06286,2
12,25,0.01442,2
13,25,0.01963,2
14,25,0.04479,2
15,25,0.09603,2
16,25,0.04259,2
17,25,0.00929,2
18,25,0.04174,2
19,25,0.01019,2
0,26,0.03788,2
1,26,0.01082,2
2,26,0.03257,2
3,26,0.01685,2
4,26,0.0531,2
5,26,0.02038,2
6,26,0.05229,2
7,26,0.04098,2
8,26,0.06539,2
9,26,0.04966,2
10,26,0.01696,2
11,26,0.09481,2
12,26,0.04068,2
13,26,0.05545,2
14,26,0.05355,2
15,26,0.06689,2
16,26,0.01818,2
17,26,0.0554,2
18,26,0.01432,2
19,26,0.02938,2
0,27,0.09027,2
1,27,0.24417,2
2,27,0.07216,2
3,27,0.05868,2
4,27,0.05804,2
5,27,0.05952,2
6,27,0.09822,2
7,27,0.07788,2
8,27,0.01579,2
9,27,0.00704,2
10,27,0.02814,2
11,27,0.05634,2
12,27,0.03954,2
13,27,0.09567,2
14,27,0.09891,2
15,27,0.00931,2
16,27,0.08096,2
17,27,0.04748,2
18,27,0.04131,2
19,27,0.24275,2
0,28,0.32309,2
1,28,0.36799,2
2,28,0.33902,2
3,28,0.29225,2
4,28,0.2897,2
5,28,0.09952,2
6,28,0.07479,2
7,28,0.09037,2
8,28,0.07888,2
9,28,0.0791,2
10,28,0.07682,2
11,28,0.0087,2
12,28,0.06514,2
13,28,0.05468,2
14,28,0.08351,2
15,28,0.08658,2
16,28,0.29073,2
17,28,0.2956,2
18,28,0.3448,2
19,28,0.31526,2
0,29,0.42088,2
1,29,0.46353,2
2,29,0.41082,2
3,29,0.45439,2
4,29,0.35887,2
5,29,0.31696,2
6,29,0.00744,2
7,29,0.09953,2
8,29,0.03006,2
9,29,0.01117,2
10,29,0.05336,2
11,29,0.05011,2
12,29,0.08724,2
13,29,0.03207,2
14,29,0.08393,2
15,29,0.34228,2
16,29,0.35442,2
17,29,0.3759,2
18,29,0.47036,2
19,29,0.47176,2
0,30,0.57831,2
1,30,0.58796,2
2,30,0.56738,2
3,30,0.47308,2
4,30,0.41359,2
5,30,0.37904,2
6,30,0.31027,2
7,30,0.02431,2
8,30,0.00515,2
9,30,0.08411,2
10,30,0.0794,2
11,30,0.00222,2
12,30,0.08367,2
13,30,0.08447,2
14,30,0.31068,2
15,30,0.35112,2
16,30,0.4743,2
17,30,0.46899,2
18,30,0.51913,2
19,30,0.57057,2
0,31,0.66998,2
1,31,0.57893,2
2,31,0.634,2
3,31,0.59101,2
4,31,0.57139,2
5,31,0.49226,2
6,31,0.40466,2
7,31,0.25987,2
8,31,0.07216,2
9,31,0.09026,2
10,31,0.06179,2
11,31,0.05008,2
12,31,0.09192,2
13,31,0.29726,2
14,31,0.37021,2
15,31,0.45806,2
16,31,0.4896,2
17,31,0.57353,2
18,31,0.63726,2
19,31,0.5706,2
0,32,0.64051,2
1,32,0.67611,2
2,32,0.72345,2
3,32,0.57932,2
4,32,0.63576,2
5,32,0.53888,2
6,32,0.4094,2
7,32,0.34886,2
8,32,0.03447,2
9,32,0.03375,2
10,32,0.06614,2
11,32,0.05175,2
12,32,0.0352,2
13,32,0.29425,2
14,32,0.45191,2
15,32,0.50108,2
16,32,0.5691,2
17,32,0.63973,2
18,32,0.7368,2
19,32,0.69391,2
0,33,0.84405,2
1,33,0.77007,2
2,33,0.85245,2
3,33,0.66955,2
4,33,0.66879,2
5,33,0.48539,2
6,33,0.39318,2
7,33,0.3249,2
8,33,0.06125,2
9,33,0.00431,2
10,33,0.08217,2
11,33,0.03112,2
12,33,0.00856,2
13,33,0.37362,2
14,33,0.4133,2
15,33,0.54728,2
16,33,0.63247,2
17,33,0.73662,2
18,33,0.78155,2
19,33,0.7305,2
0,34,0.89539,2
1,34,0.97444,2
2,34,0.77752,2
3,34,0.68566,2
4,34,0.63071,2
5,34,0.53812,2
6,34,0.43987,2
7,34,0.38907,2
8,34,0.24845,2
9,34,0.0408,2
10,34,0.08792,2
11,34,0.056,2
12,34,0.26654,2
13,34,0.37473,2
14,34,0.41763,2
15,34,0.50886,2
16,34,0.68182,2
17,34,0.67206,2
18,34,0.72018,2
19,34,0.92207,2
0,35,0.68973,2
1,35,0.80171,2
2,35,0.69037,2
3,35,0.72293,2
4,35,0.57585,2
5,35,0.52675,2
6,35,0.4622,2
7,35,0.33883,2
8,35,0.02778,2
9,35,0.08292,2
10,35,0.0982,2
11,35,0.0338,2
12,35,0.0322,2
13,35,0.35971,2
14,35,0.44402,2
15,35,0.56899,2
16,35,0.59414,2
17,35,0.65892,2
18,35,0.71856,2
19,35,0.79107,2
0,36,0.68042,2
1,36,0.72817,2
2,36,0.7317,2
3,36,0.60815,2
4,36,0.58501,2
5,36,0.51332,2
6,36,0.39239,2
7,36,0.333,2
8,36,0.00644,2
9,36,0.01177,2
10,36,0.09857,2
11,36,0.08744,2
12,36,0.06757,2
13,36,0.28955,2
14,36,0.44525,2
15,36,0.4602,2
16,36,0.62733,2
17,36,0.59275,2
18,36,0.70109,2
19,36,0.69246,2
0,37,0.67137,2
1,37,0.64326,2
2,37,0.56508,2
3,37,0.50982,2
4,37,0.48567,2
5,37,0.47014,2
6,37,0.36109,2
7,37,0.31996,2
8,37,0.06888,2
9,37,0.01741,2
10,37,0.07094,2
11,37,0.05821,2
12,37,0.0128,2
13,37,0.29768,2
14,37,0.35639,2
15,37,0.44675,2
16,37,0.50523,2
17,37,0.54247,2
18,37,0.58097,2
19,37,0.63122,2
0,38,0.52035,2
1,38,0.51378,2
2,38,0.57256,2
3,38,0.52481,2
4,38,0.41813,2
5,38,0.3701,2
6,38,0.32735,2
7,38,0.04635,2
8,38,0.09615,2
9,38,0.06222,2
10,38,0.06376,2
11,38,0.03373,2
12,38,0.06455,2
13,38,0.09698,2
14,38,0.34518,2
15,38,0.39003,2
16,38,0.44223,2
17,38,0.45141,2
18,38,0.56122,2
19,38,0.52902,2
0,39,0.39392,2
1,39,0.46174,2
2,39,0.41019,2
3,39,0.39439,2
4,39,0.33604,2
5,39,0.33852,2
6,39,0.01582,2
7,39,0.02314,2
8,39,3.3E-4,2
9,39,0.01814,2
10,39,0.02891,2
11,39,0.02414,2
12,39,0.09836,2
13,39,0.01064,2
14,39,0.02297,2
15,39,0.28833,2
16,39,0.36183,2
17,39,0.44181,2
18,39,0.40758,2
19,39,0.48184,2
